ID	NAME	TRADEDATE	OPEN	HIGH	LOW	CLOSE	VALUE	DURATION	YIELD
IMOEX	MOEX Russia Index	2022-01-03	3825,3	3866,15	3823,5	3852,5	52472868137,9	0	0
IMOEX	MOEX Russia Index	2022-01-04	3880,2	3892,33	3846,81	3873,49	62624414462	0	0
IMOEX	MOEX Russia Index	2022-01-05	3857,9	3875,25	3805,06	3815,05	59842279698,45	0	0
IMOEX	MOEX Russia Index	2022-01-06	3758,68	3784,17	3720,17	3753,29	83469097491,95	0	0
IMOEX	MOEX Russia Index	2022-01-07	3772,04	3772,04	3772,04	3772,04	0	0	0
IMOEX	MOEX Russia Index	2022-01-10	3798,43	3806,84	3726,73	3738,68	85302196824,3	0	0
IMOEX	MOEX Russia Index	2022-01-11	3764,56	3800,91	3751,45	3785,29	81053376709,85	0	0
IMOEX	MOEX Russia Index	2022-01-12	3797,31	3841,72	3783,92	3829,95	100865330719,7	0	0
IMOEX	MOEX Russia Index	2022-01-13	3814,98	3818,97	3664,48	3674,73	178770807642,9	0	0
IMOEX	MOEX Russia Index	2022-01-14	3703,9	3723,62	3512,03	3596,98	253410592849,3	0	0
IMOEX	MOEX Russia Index	2022-01-17	3633,01	3651,36	3501,94	3560,35	156354454242,75	0	0
IMOEX	MOEX Russia Index	2022-01-18	3527,77	3534,56	3297,12	3328,94	302733934140,55	0	0
IMOEX	MOEX Russia Index	2022-01-19	3290,31	3500,27	3256,6	3436,82	257223110460,45	0	0
IMOEX	MOEX Russia Index	2022-01-20	3519,02	3533,61	3403,74	3516,02	191687148184,9	0	0
IMOEX	MOEX Russia Index	2022-01-21	3420,12	3503,84	3407,27	3439,25	180588337458	0	0
IMOEX	MOEX Russia Index	2022-01-24	3426,19	3426,47	3158,46	3235,28	262889650990,6	0	0
IMOEX	MOEX Russia Index	2022-01-25	3316,98	3330,9	3229,45	3258,74	157537334538,2	0	0
IMOEX	MOEX Russia Index	2022-01-26	3341,71	3412,15	3276,06	3357,66	160814042402,85	0	0
IMOEX	MOEX Russia Index	2022-01-27	3296,47	3525,94	3284,49	3455,93	237136967964,7	0	0
IMOEX	MOEX Russia Index	2022-01-28	3508,57	3534,4	3446,01	3488,6	143424640143	0	0
IMOEX	MOEX Russia Index	2022-01-31	3524,11	3566,05	3518,55	3530,38	117693256585,8	0	0
IMOEX	MOEX Russia Index	2022-02-01	3564,55	3584,71	3531,35	3548,17	110134440838,2	0	0
IMOEX	MOEX Russia Index	2022-02-02	3574,87	3580,22	3516,17	3543,8	110896294130,6	0	0
IMOEX	MOEX Russia Index	2022-02-03	3498,76	3519,23	3446,65	3471,18	102906904754,15	0	0
IMOEX	MOEX Russia Index	2022-02-04	3499,32	3556,32	3464,14	3471,01	124982530504,55	0	0
IMOEX	MOEX Russia Index	2022-02-07	3511,39	3521,26	3437,93	3470,78	74559343723,85	0	0
IMOEX	MOEX Russia Index	2022-02-08	3497,18	3551,65	3487,64	3551,65	121464922915,6	0	0
IMOEX	MOEX Russia Index	2022-02-09	3593	3638,93	3580,45	3638,93	137282606163,35	0	0
IMOEX	MOEX Russia Index	2022-02-10	3628,51	3655,76	3592,75	3655,76	136808104131,2	0	0
IMOEX	MOEX Russia Index	2022-02-11	3579,69	3596,74	3514,12	3546,62	136512105820,75	0	0
IMOEX	MOEX Russia Index	2022-02-14	3442,82	3524,87	3404,35	3481,38	188828937775,65	0	0
IMOEX	MOEX Russia Index	2022-02-15	3532	3614,15	3514,98	3600,29	185244698014,9	0	0
IMOEX	MOEX Russia Index	2022-02-16	3682,94	3683,95	3608,01	3646,41	141370949768,1	0	0
IMOEX	MOEX Russia Index	2022-02-17	3588,27	3595,12	3498,2	3511,08	166699291103,35	0	0
IMOEX	MOEX Russia Index	2022-02-18	3547,04	3565,52	3371,05	3393,31	176700371489,15	0	0
IMOEX	MOEX Russia Index	2022-02-21	3458,73	3460,42	2910,49	3036,88	469404900519,2	0	0
IMOEX	MOEX Russia Index	2022-02-22	2909,4	3113,4	2756,46	3084,74	430550627229,75	0	0
IMOEX	MOEX Russia Index	2022-02-24	2735,88	2740,31	1681,55	2058,12	246452894354,77	0	0
IMOEX	MOEX Russia Index	2022-02-25	2261,33	2552,46	2256,09	2470,48	189354389723,36	0	0
IMOEX	MOEX Russia Index	2022-03-24	2474,52	2761,17	2447,68	2578,51	100222210672,2	0	0
